Date,Open,High,Low,Close,Volume
2005-02-25,24.2698,24.6233,24.2006,24.6145,1254981.4174352
2005-02-28,24.6055,24.6055,24.2224,24.3774,2761319.609895
2005-03-01,24.5473,24.6055,24.332,24.411,2179421.4608192
2005-03-02,24.3478,24.4357,24.1425,24.3399,1035765.0957867
2005-03-03,24.3241,24.4821,24.2066,24.3162,598986.05552572
2005-03-04,24.5038,25.0835,24.4585,25.0776,1632588.2020871
2005-03-07,25.0914,25.0914,24.8021,24.8021,1499702.5153655
2005-03-08,24.8021,24.8663,24.7014,24.7399,1113428.7445621
2005-03-09,24.8574,25.0302,24.7645,24.7952,2968803.7547062
2005-03-10,24.8821,24.8979,24.3063,24.4821,4680711.2338381
2005-03-11,24.4268,24.8248,24.4268,24.6303,3946675.5297488
2005-03-14,24.5473,24.6924,24.4179,24.6233,1603510.9141635
2005-03-15,24.7793,24.7793,24.496,24.5038,1505191.9103797
2005-03-16,24.3063,24.411,23.941,23.9795,6267005.6392335
2005-03-17,24.0348,24.332,23.9715,24.2629,3284816.1046541
2005-03-18,24.2629,24.2787,24.0269,24.177,3061518.9377911
2005-03-21,24.3063,24.3063,23.9498,24.0348,1631566.4718584
2005-03-22,24.1197,24.3774,23.932,23.9567,1767768.4782023
2005-03-23,23.941,24.0041,23.6961,23.7217,2702915.9303449
2005-03-24,23.9142,23.9498,23.7138,23.7217,2136822.7023874
2005-03-28,23.8393,23.8393,23.5884,23.5884,1483762.916229
2005-03-29,23.5331,23.7918,23.0531,23.0621,2879282.3646253
2005-03-30,23.143,23.4512,23.143,23.4512,2657636.7755651
2005-03-31,23.6042,23.7424,23.5233,23.6486,1942984.5799359
2005-04-01,23.5331,23.932,23.4926,23.5815,2497470.1829075
2005-04-04,23.4512,23.4512,23.2655,23.4373,1068922.2163081
2005-04-05,23.3681,23.5489,23.3445,23.4847,581772.58460763
2005-04-06,23.5726,23.7138,23.5726,23.6042,1305866.4181473
2005-04-07,23.7049,23.8698,23.6575,23.8619,1747743.9833846
2005-04-08,23.8698,23.9004,23.5005,23.5163,1201293.493757
2005-04-11,23.5953,23.5953,23.3267,23.4373,352863.49611238
2005-04-12,23.3859,23.4926,23.0393,23.4166,1893764.3210433
2005-04-13,23.4097,23.4097,22.6946,22.7637,3635765.755244
2005-04-14,22.7391,22.7637,22.0043,22.1278,10032340.761577
2005-04-15,21.9303,22.1437,21.5432,21.5768,4039260.0852822
2005-04-18,21.6845,21.9955,21.5768,21.9244,5547760.2143506
2005-04-19,22.3165,22.668,21.9955,22.194,2198805.981896
2005-04-20,22.5031,22.5031,21.7664,21.8227,3060492.1444791
2005-04-21,22.0596,22.2463,21.8148,22.2306,2779170.0167039
2005-04-22,22.3105,22.3105,21.7901,22.0221,1902817.1141492
2005-04-25,22.037,22.2947,22.037,22.2384,1219403.1304356
2005-04-26,22.1031,22.2552,21.8059,21.8148,2528964.5868427
2005-04-27,21.477,21.6993,21.322,21.6024,7637913.4392585
2005-04-28,21.7229,21.799,21.3595,21.4296,7422140.014317
2005-04-29,21.5856,22.0824,21.5353,21.9629,4841012.5045139
2005-05-02,21.9718,22.1851,21.9629,22.1437,3651577.764679
2005-05-03,22.1031,22.3934,22.0596,22.2849,2206579.840137
2005-05-04,22.3856,22.6305,22.2849,22.6305,1617922.4747321
2005-05-05,22.5446,22.7302,22.3392,22.4982,3957640.1431438
2005-05-06,22.512,22.7105,22.4903,22.5524,1358664.2517651
2005-05-09,22.4745,22.5929,22.348,22.5218,1178848.8450776
2005-05-10,22.348,22.4014,22.1278,22.1851,1466420.8429927
2005-05-11,22.194,22.2789,21.954,22.2078,3509513.7203833
2005-05-12,22.194,22.2463,21.5353,21.6024,4031606.7284259
2005-05-13,21.6429,21.6845,20.9379,21.1768,5886344.8026792
2005-05-16,20.9675,21.2992,20.9675,21.2736,2516598.5119647
2005-05-17,21.2173,21.635,21.1768,21.5709,3007826.9636461
2005-05-18,21.6429,22.2078,21.6429,22.1199,5930213.3824259
2005-05-19,22.1278,22.1762,21.878,22.0133,2851609.5760348
2005-05-20,21.9629,21.9629,21.7506,21.8711,4891515.7487382
2005-05-23,21.8227,22.1278,21.799,22.0439,2470685.4591442
2005-05-24,21.9866,22.0518,21.8859,21.9718,2566463.8076815
2005-05-25,21.8395,21.954,21.6024,21.7427,4148419.1506095
2005-05-26,21.7594,21.9461,21.7594,21.9106,1561559.2177893
2005-05-27,21.9797,22.0043,21.8631,21.9797,1623148.58941
2005-05-31,21.8473,21.9303,21.6429,21.8227,2466736.254098
2005-06-01,21.8227,22.2306,21.799,22.1515,5678856.6074013
2005-06-02,22.1515,22.1515,21.9629,22.0824,2339976.8982813
2005-06-03,22.1031,22.2463,21.9629,22.037,2912439.4851466
2005-06-06,22.0043,22.037,21.9106,21.9718,3530939.6766841
2005-06-07,22.0518,22.3392,22.0518,22.1031,4990473.7136462
2005-06-08,22.2306,22.2306,21.9382,21.954,3175777.5407115
2005-06-09,21.878,21.9016,21.6498,21.8631,3089572.4702527
2005-06-10,21.9174,22.194,21.9174,22.0596,2699852.7648924
2005-06-13,22.0883,22.348,21.9382,22.2009,3775403.569978
2005-06-14,22.1585,22.2849,22.1585,22.2384,2580741.7028486
2005-06-15,22.2947,22.4517,22.111,22.4517,4140636.1788184
2005-06-16,22.4665,22.8191,22.4665,22.6858,4615036.9665364
2005-06-17,22.7885,22.7885,22.5771,22.5851,2952606.9509333
2005-06-20,22.5851,22.5851,22.2849,22.348,2486628.0961307
2005-06-21,22.3323,22.3323,22.1515,22.2306,1892870.1805162
2005-06-22,21.9174,22.355,21.9174,22.2078,1708593.1847432
2005-06-23,22.1762,22.2463,21.6845,21.6845,3433258.6214077
2005-06-24,21.6755,21.7318,21.3309,21.4395,2778918.8877676
2005-06-27,21.4138,21.4958,21.322,21.3813,4059916.4529073
2005-06-28,21.4612,21.7229,21.4534,21.7229,2508436.8215359
2005-06-29,21.6024,21.7229,21.5768,21.6262,1402529.7936618
2005-06-30,21.6024,21.635,21.1699,21.2815,2597063.0584729
2005-07-01,21.3309,21.3901,21.1699,21.2677,2346862.6916953
2005-07-05,21.1857,21.3595,21.1492,21.322,1182294.7796346
2005-07-06,21.2992,21.3901,21.2173,21.2509,2364202.7396981
2005-07-07,20.9832,21.3072,20.9379,21.2992,3097222.7892589
2005-07-08,21.3309,21.7427,21.3309,21.715,5036383.7286167
2005-07-11,21.6845,22.0133,21.6845,22.0133,3656551.7378039
2005-07-12,22.0291,22.0439,21.7664,21.954,5392305.3270982
2005-07-13,21.9382,22.0133,21.7752,21.8859,3947567.6450425
2005-07-14,22.0518,22.1515,21.8859,21.9174,2712475.0317901
2005-07-15,21.9016,21.9461,21.8305,21.878,1112154.8727806
2005-07-18,21.8473,21.954,21.8148,21.8305,2409220.6393749
2005-07-19,21.9303,22.272,21.9303,22.1851,4790644.9509246
2005-07-20,22.1851,22.5929,22.1851,22.5278,3871306.4703669
2005-07-21,22.5278,22.6601,22.4182,22.4182,4151483.3286786
2005-07-22,22.4665,22.6235,22.3105,22.5604,2625503.4105057
2005-07-25,22.6453,22.7174,22.3718,22.3718,2390474.0668056
2005-07-26,22.2384,22.2384,21.9629,22.0596,5089559.2682556
2005-07-27,22.194,22.3253,22.111,22.2947,3067379.9631263
2005-07-28,22.4271,22.5851,22.3628,22.5446,1969641.7139978
2005-07-29,22.6235,22.7105,22.4439,22.4597,2539426.9423652
2005-08-01,22.4271,22.5356,22.2789,22.348,3387597.7101401
2005-08-02,22.3718,22.7885,22.3718,22.6858,5136492.0260715
2005-08-03,22.668,22.7885,22.5999,22.7796,2754812.5351189
2005-08-04,22.7243,22.7243,22.5218,22.5356,3199242.9070027
2005-08-05,22.5604,22.7391,22.3796,22.4182,4656991.7007606
2005-08-08,22.4903,22.7302,22.4182,22.4182,1637050.8037893
2005-08-09,22.4517,22.5999,22.4517,22.5604,2283478.9633202
2005-08-10,22.7391,22.8813,22.5356,22.6305,5531055.0770051
2005-08-11,22.7302,22.9189,22.6601,22.8191,2545670.7368049
2005-08-12,22.7391,22.828,22.5031,22.6532,3775403.569978
2005-08-15,22.5851,22.7026,22.4517,22.6374,1508374.5646003
2005-08-16,22.6305,22.6305,22.2009,22.2009,5197449.5248848
2005-08-17,22.0744,22.2789,22.0744,22.1762,2688250.20299
2005-08-18,22.111,22.1347,21.9797,21.9866,3281879.5162863
2005-08-19,22.1515,22.2148,21.9955,22.037,3954073.707202
2005-08-22,22.1762,22.3037,21.9718,22.0439,1956760.2172304
2005-08-23,22.0221,22.037,21.6845,21.6845,4537759.1247154
2005-08-24,21.6845,21.7368,21.4612,21.477,2964214.5759192
2005-08-25,21.4869,21.5619,21.4207,21.4958,1253451.353634
2005-08-26,21.5126,21.5205,21.2904,21.3813,1349606.3955758
2005-08-29,21.2015,21.5551,21.1857,21.5205,3789050.6049543
2005-08-30,21.4869,21.4869,21.2094,21.3131,5083569.6406022
2005-08-31,21.2736,21.5551,21.2509,21.5205,1709869.0817581
2005-09-01,21.5619,21.7506,21.5619,21.5768,2240760.7161203
2005-09-02,21.5768,21.6845,21.5126,21.5619,1758588.0953948
2005-09-06,21.5353,21.715,21.5353,21.715,2337933.437824
2005-09-07,21.7506,21.8938,21.6993,21.8473,3895030.0539112
2005-09-08,21.9106,21.9174,21.7229,21.7318,2392258.2973931
2005-09-09,21.7594,21.9629,21.7594,21.954,2122286.5899673
2005-09-12,21.9244,22.0439,21.9106,22.0133,2153273.6729466
2005-09-13,22.0043,22.0043,21.7664,21.7752,2434340.6213189
2005-09-14,21.7664,21.9382,21.7506,21.8563,2610965.2728523
2005-09-15,21.4612,21.9174,21.2351,21.7901,2347243.4355663
2005-09-16,21.6845,21.9174,21.6845,21.8227,3671724.7861148
2005-09-19,21.9303,21.9303,21.6172,21.6667,2932463.9799643
2005-09-20,21.7901,21.8395,21.3388,21.3388,4122147.8235021
2005-09-21,21.2253,21.3072,21.0307,21.0939,5122971.56818
2005-09-22,21.1699,21.2351,20.9902,21.2173,4489805.6492876
2005-09-23,21.0869,21.3072,20.9754,21.2351,2862063.8306239
2005-09-26,21.3674,21.4296,21.1264,21.2094,2433323.9541736
2005-09-27,21.1857,21.3388,21.1027,21.2094,2919833.6121332
2005-09-28,21.2509,21.3595,21.1768,21.2736,7800762.4534975
2005-09-29,21.2351,21.4138,21.1205,21.3981,3158307.8777737
2005-09-30,21.3981,21.6262,21.3674,21.5619,2051125.9655013
2005-10-03,21.5856,21.5936,21.3813,21.477,1428038.6204103
2005-10-04,21.8711,21.8711,21.243,21.243,1534649.9421744
2005-10-05,21.1768,21.2351,20.7551,20.7551,6111175.0711934
2005-10-06,20.8025,20.9063,20.4845,20.6485,6156315.4974883
2005-10-07,20.7255,20.9596,20.7255,20.852,2323143.1586176
2005-10-10,20.852,20.9379,20.7255,20.7403,2834391.0420333
2005-10-11,20.8904,20.9675,20.7482,20.7641,2573985.5243696
2005-10-12,20.7947,20.8658,20.4925,20.5961,2125219.1278683
2005-10-13,20.5754,20.6564,20.368,20.5675,1966452.9840772
2005-10-14,20.5961,20.688,20.4381,20.6406,2101503.6452574
2005-10-17,20.6229,20.8025,20.6229,20.7947,2266135.8774673
2005-10-18,20.7799,20.8184,20.5517,20.5754,1361215.0331783
2005-10-19,20.4529,20.7719,20.3325,20.7482,3051955.7858792
2005-10-20,20.7719,21.0218,20.527,20.6051,7362966.7460913
2005-10-21,20.5833,20.9063,20.5438,20.7947,2742828.2167286
2005-10-24,20.9141,21.2736,20.8272,21.2736,3600571.2499655
2005-10-25,21.2736,21.4702,21.1432,21.2608,3426117.6485908
2005-10-26,21.2094,21.7061,21.2094,21.4296,7623758.0707096
2005-10-27,21.4207,21.5619,20.9379,21.2094,3565246.1171355
2005-10-28,21.2904,21.6024,21.243,21.5491,2337679.2710378
2005-10-31,21.7229,21.7229,21.5936,21.6094,3321542.6989671
2005-11-01,21.7229,21.7752,21.5619,21.6845,2757878.7384214
2005-11-02,21.6913,22.0043,21.635,21.9382,2072804.063355
2005-11-03,22.0221,22.1031,21.799,21.8711,6664252.1243653
2005-11-04,21.8859,21.9382,21.6597,21.8395,2377340.4284852
2005-11-07,21.8631,21.9955,21.2509,21.954,2900581.7438412
2005-11-08,21.9174,21.954,21.7832,21.8473,2113231.7716281
2005-11-09,21.799,22.0291,21.799,21.8227,2625885.1669935
2005-11-10,21.8395,22.1762,21.7427,22.1278,3415652.2552183
2005-11-11,22.1762,22.4439,22.111,22.4349,1561810.3467255
2005-11-14,22.668,22.9257,22.5771,22.6532,7854577.9668772
2005-11-15,22.6601,22.7885,22.5604,22.5929,1916976.5331649
2005-11-16,22.5929,22.7105,22.5218,22.6305,2557149.7594725
2005-11-17,22.6858,22.9445,22.6769,22.9119,2494921.4267277
2005-11-18,22.9524,23.1005,22.8576,22.9761,2783254.9123849
2005-11-21,23.0472,23.1716,22.3165,23.1252,3156908.441524
2005-11-22,22.993,23.2417,22.993,23.1944,2630606.9985654
2005-11-23,23.1342,23.2655,23.1094,23.1578,1256385.9167683
2005-11-25,23.1164,23.297,23.1164,23.2892,247397.4438116
2005-11-28,23.3504,23.3504,23.2033,23.2259,2508946.1677251
2005-11-29,23.2734,23.5489,23.2339,23.4373,2941641.3249217
2005-11-30,23.2892,23.5163,23.2259,23.2655,1997565.6315245
2005-12-01,23.3356,23.7217,23.3356,23.7217,3611662.4404452
2005-12-02,23.6911,23.7049,23.5815,23.62,1124522.972892
2005-12-05,23.6733,23.6831,23.541,23.6831,5518559.3871922
2005-12-06,23.783,24.0041,23.7049,23.8541,2584187.6374056
2005-12-07,23.9074,23.9715,23.6961,23.7918,3089827.6496557
2005-12-08,23.7217,23.932,23.6575,23.7504,2058144.4117001
2005-12-09,23.8393,23.8393,23.6328,23.6911,1481722.4936217
2005-12-12,23.7049,23.8393,23.5884,23.6911,2620533.4878476
2005-12-13,23.6486,23.9795,23.6111,23.9004,1806915.226377
2005-12-14,23.8461,23.9142,23.7424,23.7682,1751697.2388975
2005-12-15,23.8393,23.8866,23.6259,23.6407,1615624.8474886
2005-12-16,23.4432,23.6042,23.3445,23.3681,2568375.6279706
2005-12-19,23.3681,23.5074,23.2417,23.2595,1359809.5212285
2005-12-20,23.2339,23.4235,23.1578,23.1716,1656180.1454632
2005-12-21,23.2892,23.6259,23.2892,23.62,1903710.2420596
2005-12-22,23.6831,23.8698,23.6664,23.8619,1961732.1651219
2005-12-23,23.8541,23.9567,23.8225,23.932,2127004.3710725
2005-12-27,24.0426,24.1197,23.7504,23.783,3574811.2942807
2005-12-28,23.8225,24.0041,23.8225,23.9883,1041378.0300357
2005-12-29,23.932,24.0891,23.8777,23.9498,1177068.6649568
2005-12-30,23.8541,23.8541,23.7217,23.7424,915892.54600067
2006-01-03,23.6111,24.3162,23.6111,24.2461,7147319.8982346
2006-01-04,24.1602,24.3952,24.1602,24.3952,3962869.2956716
2006-01-05,24.4012,24.4012,24.2154,24.3557,2149450.0323685
2006-01-06,24.5296,24.7102,24.4683,24.6145,1065224.1401981
2006-01-09,24.6303,24.6924,24.5532,24.6055,1127076.7921551
2006-01-10,24.4417,24.5038,24.0506,24.4495,3683461.0134188
2006-01-11,24.3063,24.4357,24.2461,24.2629,3557844.9018322
2006-01-12,24.255,24.255,23.9232,23.9232,2597449.8780442
2006-01-13,23.6911,24.0832,23.6911,23.9795,1624554.1013598
2006-01-17,23.8393,24.0832,23.7987,24.0041,1572780.0232039
2006-01-18,23.9142,23.9637,23.6911,23.7682,2305160.0990239
2006-01-19,23.8777,24.1335,23.8461,24.0189,3682951.6672295
2006-01-20,23.9953,24.1118,23.5953,23.6111,4269444.0581757
2006-01-23,23.6042,24.0041,23.6042,23.932,2204922.1866343
2006-01-24,23.9232,24.2293,23.9232,24.2006,4562243.1833852
2006-01-25,24.4268,24.5138,24.2372,24.3162,2386777.0033122
2006-01-26,24.7793,24.7793,24.3557,24.6055,2989976.5568373
2006-01-27,24.6924,24.8248,24.567,24.7793,2652666.8529069
2006-01-30,24.7547,24.8979,24.728,24.8495,6294550.8381226
2006-01-31,24.8821,25.0381,24.7399,24.889,2868446.3535486
2006-02-01,24.9047,25.0075,24.7793,24.9611,2048067.8631321
2006-02-02,24.9778,25.0914,24.567,24.5887,4581369.487209
2006-02-03,24.5582,24.6055,24.332,24.3696,3565750.4002414
2006-02-06,24.5532,24.8326,24.5206,24.81,3702966.0358804
2006-02-07,24.6698,24.7547,23.9142,24.1602,7782784.4569871
2006-02-08,24.1513,24.2461,23.9715,24.2006,3082812.2413069
2006-02-09,24.2945,24.6055,24.2224,24.2787,2702147.3542859
2006-02-10,24.2461,24.3557,23.8866,24.2293,3712025.9173031
2006-02-13,24.1118,24.2985,23.941,23.9883,5626448.6312048
2006-02-14,24.0189,24.6628,24.0189,24.6303,4281559.0041174
2006-02-15,24.6628,25.045,24.3063,24.5206,3409788.1920331
2006-02-16,24.5038,24.8426,24.4683,24.8426,3372680.8538488
2006-02-17,24.889,24.9186,24.7477,24.8178,2297379.1524662
2006-02-21,24.9778,25.0154,24.728,24.8248,2781211.4519277
2006-02-22,24.9107,25.0776,24.8426,24.9275,2490457.8124088
2006-02-23,24.9364,25.045,24.7547,24.8021,3170804.5802032
2006-02-24,24.9047,24.9522,24.728,24.8732,2484842.8529265
